cod,Clave,Nombre
9906,V149,"Ciclista lesionado por colisión con vehículo de transporte pesado o autobús, ciclista no especificado, lesionado en accidente de tránsito"
9902,V142,"Ciclista lesionado por colisión con vehículo de transporte pesado o autobús, ciclista no especificado, lesionado en accidente no de tránsito"
9904,V144,"Ciclista lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente de tránsito"
9900,V140,"Ciclista lesionado por colisión con vehículo de transporte pesado o autobús, conductor lesionado en accidente no de tránsito"
9905,V145,"Ciclista lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente de tránsito"
9901,V141,"Ciclista lesionado por colisión con vehículo de transporte pesado o autobús, pasajero lesionado en accidente no de tránsito"
9903,V143,"Ciclista lesionado por colisión con vehículo de transporte pesado o autobús, persona lesionada al subir o bajar del vehículo"
9942,V192,"Ciclista no especificado  lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente no de tránsito"
9946,V196,"Ciclista no especificado lesionado por colisión con otros vehículos de motor, y con los no especificado, en accidente de tránsito"
3370,H302,Ciclitis posterior
2583,F340,Ciclotimia
3737,I23,Ciertas complicaciones presentes posteriores al infarto agudo del miocardio
1894,D76,Ciertas enfermedades que afectan al tejido linforreticular y al sistema reticuloendotelial
5883,M963,Cifosis postlaminectomía
5882,M962,Cifosis postradiación
5524,M400,Cifosis postural
5523,M40,Cifosis y lordosis
685,B46,Cigomicosis
693,B469,"Cigomicosis, no especificada"
13779,Z412,Circuncisión ritual o de rutina
4779,K743,Cirrosis biliar primaria
4780,K744,Cirrosis biliar secundaria
4751,K703,Cirrosis hepática alcohólica
13772,Z40,Cirugía profiláctica
13775,Z409,Cirugía profiláctica no especificada
13773,Z400,Cirugía profiláctica por factores de riesgo relacionados con tumores malignos
13470,Y83,"Cirugía y otros procedimientos quirúrgicos como la causa de reacción anormal del paciente o de complicación posterior, sin mención de incidente en el momento de efectuar el procedimiento"
785,B69,Cisticercosis
788,B698,Cisticercosis de otros sitios
787,B691,Cisticercosis del ojo
786,B690,Cisticercosis del sistema nervioso central
789,B699,"Cisticercosis, no especificada"
6077,N30,Cistitis
6079,N301,Cistitis intersticial (crónica)
6082,N304,Cistitis por irradiación
6100,N330,Cistitis tuberculosa
6084,N309,"Cistitis, no especificada"
6258,N811,Cistocele
14185,Z935,Cistostomía
5193,L811,Cloasma
763,B661,Clonorquiasis
9576,T594,Cloro gaseoso
9541,T535,Clorofluorocarburos
9537,T531,Cloroformo
898,B967,Clostridium perfringens [C. perfringens] como causa de enfermedades clasificadas en otros capítulos
1847,D65,Coagulación intravascular diseminada [síndrome de desfibrinación]
7168,P60,Coagulación intravascular diseminada en el feto y el recién nacido
7447,Q251,Coartación de la aorta
9557,T564,Cobre y sus compuestos
9413,T405,Cocaína
628,B38,Coccidioidomicosis
632,B383,Coccidioidomicosis cutánea
634,B387,Coccidioidomicosis diseminada
629,B380,Coccidioidomicosis pulmonar aguda
630,B381,Coccidioidomicosis pulmonar crónica
631,B382,"Coccidioidomicosis pulmonar, sin otra especificación"
636,B389,"Coccidioidomicosis, no especificada"
5215,L871,Colagenosis perforante reactiva
4827,K830,Colangitis
4381,J981,Colapso pulmonar
4813,K81,Colecistitis
4817,K819,"Colecistitis, no especificada"
1,A00,Cólera
2,A000,"Cólera debido a Vibrio cholerae 01, biotipo cholerae"
3,A001,"Cólera debido a Vibrio cholerae 01, biotipo el Tor"
4,A009,"Cólera, no especificado"
3531,H604,Colesteatoma del oído eterno
3580,H71,Colesteatoma del oído medio
3657,H950,Colesteatoma recurrente de la cavidad resultante de la mastoidectomía
4823,K824,Colesterolosis de la vesícula biliar
6057,N23,"Cólico renal, no especificado"
13087,Y32,"Colisión de vehículo de motor, de intención no determinada"
13094,Y326,"Colisión de vehículo de motor, de intención no determinada, área industrial y de la construcción"
13091,Y323,"Colisión de vehículo de motor, de intención no determinada, áreas de deporte y atletismo"
13092,Y324,"Colisión de vehículo de motor, de intención no determinada, calles y carreteras"
13093,Y325,"Colisión de vehículo de motor, de intención no determinada, comercio y área de servicios"
13090,Y322,"Colisión de vehículo de motor, de intención no determinada, escuelas, otras instituciones y áreas administrativas públicas"
13095,Y327,"Colisión de vehículo de motor, de intención no determinada, granja"
13089,Y321,"Colisión de vehículo de motor, de intención no determinada, institución residencial"
13097,Y329,"Colisión de vehículo de motor, de intención no determinada, lugar no especificado"
13096,Y328,"Colisión de vehículo de motor, de intención no determinada, otro lugar especificado"
13088,Y320,"Colisión de vehículo de motor, de intención no determinada, vivienda"
46,A062,Colitis amebiana no disentérica
4649,K51,Colitis Ulcerativa
4657,K519,"Colitis Ulcerativa, sin otra especificación"
4661,K522,Colitis y gastroenteritis alérgicas y dietéticas
4659,K520,Colitis y gastroenteritis debidas a radiación
4663,K529,"Colitis y gastroenteritis no infecciosas, no especificadas"
4660,K521,Colitis y gastroenteritis tóxicas
7346,Q122,Coloboma del cristalino
7352,Q130,Coloboma del iris
14183,Z933,Colostomía
2057,E15,Coma hipoglicémico no diabético
1971,E035,Coma miedematoso
7250,P915,Coma neonatal
8121,R402,"Coma, no especificado"
5891,M991,Complejo de subluxación (vertebral)
9710,T819,"Complicación de procedimientos, no especificada"
9716,T824,Complicación mecánica de catéter para diálisis vascular
9723,T830,Complicación mecánica de catéter urinario (fijo)
9744,T850,Complicación mecánica de derivación (anastomótica) ventricular intracraneal
9714,T822,Complicación mecánica de derivación de arteria coronaria e injerto valvular
9726,T833,Complicación mecánica de dispositivo anticonceptivo intrauterino
9734,T841,Complicación mecánica de dispositivo de fijación interna de huesos de un miembro
9735,T842,Complicación mecánica de dispositivo de fijación interna de otros huesos
9713,T821,Complicación mecánica de dispositivo electrónico cardíaco
9749,T855,"Complicación mecánica de dispositivo protésico, implante e injerto gastrointestinal"
9745,T851,Complicación mecánica de implante de estimulador electrónico del sistema nervioso
9725,T832,Complicación mecánica de injerto en órgano urinario
9746,T852,Complicación mecánica de lentes intraoculares
9717,T825,Complicación mecánica de otros dispositivos e implantes cardiovasculares
9724,T831,Complicación mecánica de otros dispositivos e implantes urinarios
9736,T843,"Complicación mecánica de otros dispositivos óseos, implantes e injertos"
9750,T856,"Complicación mecánica de otros dispositivos protésicos, implantes e injertos internos especificados"
9747,T853,"Complicación mecánica de otros dispositivos protésicos, implantes e injertos oculares"
9737,T844,"Complicación mecánica de otros dispositivos protésicos, implantes e injertos ortopédicos internos"
9727,T834,"Complicación mecánica de otros dispositivos, implantes e injertos en el tracto genital"
9715,T823,Complicación mecánica de otros injertos vasculares
9733,T840,Complicación mecánica de prótesis articular interna
9712,T820,Complicación mecánica de prótesis de válvula cardíaca
9748,T854,Complicación mecánica de prótesis e implante de mama
6391,N989,Complicación no especificada asociada con la fecundación artificial
6481,O089,"Complicación no especificada consecutiva al aborto, al embarazo ectópico y al embarazo molar"
9721,T829,"Complicación no especificada de dispositivo protésico, implante e injerto cardiovascular"
9731,T839,"Complicación no especificada de dispositivo protésico, implante e injerto genitourinario"
9753,T859,"Complicación no especificada de dispositivo protésico, implante e injerto interno"
6569,O299,Complicación no especificada de la anestesia administrada durante el embarazo
6846,O899,Complicación no especificada de la anestesia administrada durante el puerperio
6772,O749,Complicación no especificada de la anestesia administrada durante el trabajo de parto y el parto
6783,O759,Complicación no especificada del trabajo de parto y del parto
6855,O909,"Complicación puerperal, no especificada"
6550,O269,"Complicación relacionada con el embarazo, no especificada"
6830,O879,"Complicación venosa en el puerperio, no especificada"
6523,O229,Complicación venosa no especificada en el embarazo
6385,N98,Complicaciones asociadas con la fecundación artificial
6562,O291,Complicaciones cardíacas de la anestesia administrada durante el embarazo
6839,O891,Complicaciones cardíacas de la anestesia administrada durante el puerperio
6765,O742,Complicaciones cardíacas de la anestesia administrada durante el trabajo de parto y el parto
9690,T80,"Complicaciones consecutivas a infusión, transfusión e inyección terapéutica"
6471,O08,"Complicaciones consecutivas al aborto, al embarazo ectópico y al embarazo molar"
9711,T82,"Complicaciones de dispositivos protésicos, implantes e injertos cardiovasculares"
9732,T84,"Complicaciones de dispositivos protésicos, implantes e injertos ortopédicos internos"
9722,T83,"Complicaciones de dispositivos, implantes e injertos genitourinarios"
6560,O29,Complicaciones de la anestesia administrada durante el embarazo
6837,O89,Complicaciones de la anestesia administrada durante el puerperio
6762,O74,Complicaciones de la anestesia administrada durante el trabajo de parto y el parto
9764,T871,Complicaciones de la reinserción (de parte) de extremidad inferior
9763,T870,Complicaciones de la reinserción (de parte) de extremidad superior
9765,T872,Complicaciones de otras partes del cuerpo reinsertadas
9743,T85,"Complicaciones de otros dispositivos protésicos, implantes e injertos internos"
7277,P965,"Complicaciones de procedimientos intrauterinos, no clasificados en otra parte"
9700,T81,"Complicaciones de procedimientos, no clasificadas en otra parte"
6847,O90,"Complicaciones del puerperio, no clasificadas en otra parte"
6563,O292,Complicaciones del sistema nervioso central debidas a la anestesia administrada durante el embarazo
6840,O892,Complicaciones del sistema nervioso central debidas a la anestesia administrada durante el puerperio
6766,O743,Complicaciones del sistema nervioso central por la anestesia administrada durante el trabajo de parto y el parto
6389,N983,Complicaciones en el intento de introducción del embrión en la transferencia de embriones
6388,N982,Complicaciones en el intento de introducción del huevo fecundado en la fertilización in vitro
6576,O31,Complicaciones específicas del embarazo múltiple
9699,T809,"Complicaciones no especificadas consecutivas a infusión, transfusión e inyección terapéutica"
9742,T849,"Complicaciones no especificadas de dispositivos protésicos, implantes e injertos ortopédicos internos"
9780,T889,Complicaciones no especificadas de la atención médica y quirúrgica
9762,T87,Complicaciones peculiares de la reinserción y amputación
9689,T799,Complicaciones precoces no especificadas de los traumatismos
6561,O290,Complicaciones pulmonares de la anestesia administrada durante el embarazo
6838,O890,Complicaciones pulmonares de la anestesia administrada durante el puerperio
9692,T801,"Complicaciones vasculares consecutivas a infusión, transfusión e inyección terapéutica"
9708,T817,"Complicaciones vasculares consecutivas a procedimiento, no clasificadas en otra parte"
6515,O22,Complicaciones venosas del embarazo
6824,O87,Complicaciones venosas en el puerperio
3894,I51,Complicaciones y descripciones mal definidas de enfermedad cardíaca
4084,I871,Compresión de vena
3186,G935,Compresión del encéfalo
3199,G952,"Compresión medular, no especificada"
3048,G550,Compresiones de las raíces y  plexos nerviosos en enfermedades neoplásicas
3050,G552,Compresiones de las raíces y  plexos nerviosos en la espondilosis
3051,G553,Compresiones de las raíces y  plexos nerviosos en otras dorsopatías
3049,G551,Compresiones de las raíces y  plexos nerviosos en trastornos de los discos intervertebrales
3047,G55,Compresiones de las raíces y de los plexos nerviosos en enfermedades clasificadas en otra parte
3052,G558,Compresiones de las raíces y plexos nerviosos en otras enfermedades clasificadas en otra parte
3241,H038,Compromiso del párpado en enfermedades clasificadas en otra parte
3240,H031,Compromiso del párpado en enfermedades infecciosas clasificadas en otra parte
5515,M359,"Compromiso sistémico del tejido conjuntivo, no especificado"
4605,K381,Concreciones apendiculares
8441,S060,Concusión
8497,S140,Concusión y edema de la médula espinal cervical
8629,S340,Concusión y edema de la médula espinal lumbar
8554,S240,Concusión y edema de la médula espinal torácica
5347,M111,Condrocalcinosis familiar
7820,Q773,Condrodisplasia punctata
5867,M943,Condrólisis
5866,M942,Condromalacia
5437,M224,Condromalacia de la rótula
8153,R462,Conducta extraña e inexplicable
7446,Q250,Conducto arterioso persistente
10526,V794,"Conductor de autobús lesionado por colisión con otros vehículos  de motor, y con los no especificados en accidente de tránsito"
10522,V790,"Conductor de autobús lesionado por colisión con otros vehículos de motor, y con los no especificados en accidente no de tránsito"
10226,V494,"Conductor de automóvil lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
10222,V490,"Conductor de automóvil lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente no de tránsito"
10326,V594,"Conductor de camioneta o furgoneta lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
10322,V590,"Conductor de camioneta o furgoneta lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente no de tránsito"
10022,V290,"Conductor de motocicleta lesionado por colisión con otros vehículos de motor, y con los no especificados en accidente no de tránsito"
10026,V294,"Conductor de motocicleta lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
10575,V840,Conductor de vehículo agrícola especial lesionado en accidente de tránsito
10580,V845,Conductor de vehículo agrícola especial lesionado en accidente no de tránsito
10126,V394,"Conductor de vehículo de motor de tres ruedas lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
10122,V390,"Conductor de vehículo de motor de tres ruedas lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente no de tránsito"
9944,V194,"Conductor de vehículo de pedal lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
9940,V190,"Conductor de vehículo de pedal lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente no de tránsito"
10426,V694,"Conductor de vehículo de transporte pesado lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente de tránsito"
10422,V690,"Conductor de vehículo de transporte pesado lesionado por colisión con otros vehículos de motor, y con los no especificados, en accidente no de tránsito"
10585,V850,Conductor de vehículo especial para construcción lesionado en accidente de tránsito
10590,V855,Conductor de vehículo especial para construcción lesionado en accidente no de tránsito
10565,V830,Conductor de vehículo industrial especial lesionado en accidente de tránsito
10570,V835,Conductor de vehículo industrial especial lesionado en accidente no de tránsito
10595,V860,Conductor de vehículo para todo terreno o de otro vehículo de motor para uso fuera de la carretera lesionado en accidente de tránsito
10600,V865,Conductor de vehículo para todo terreno o de otro vehículo de motor para uso fuera de la carretera lesionado en accidente no de tránsito
7462,Q265,Conexión anómala de la vena porta
7461,Q264,"Conexión anómala de las venas pulmonares, sin otra especificación"
7460,Q263,Conexión anómala parcial de las venas pulmonares
7459,Q262,Conexión anómala total de las venas pulmonares
11523,W81,Confinado o atrapado en un ambiente con bajo contenido de oxígeno
11530,W816,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno, área industrial y de la construcción"
11527,W813,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno, áreas de deporte y atletismo"
11528,W814,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno, calles y carreteras"
11529,W815,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno, comercio y área de servicios"
11526,W812,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno, escuelas, otras instituciones y áreas administrativas públicas"
11531,W817,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno, granja"
11525,W811,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno, institución residencial"
11533,W819,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno, lugar no especificado"
11532,W818,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno, otro lugar especificado"
11524,W810,"Confinado o atrapado en un ambiente con bajo contenido de oxigeno, vivienda"
9348,T34,Congelamiento con necrosis tisular
9349,T340,Congelamiento con necrosis tisular de la cabeza
9355,T346,Congelamiento con necrosis tisular de la cadera y del muslo
9354,T345,Congelamiento con necrosis tisular de la muñeca y de la mano
9352,T343,"Congelamiento con necrosis tisular de la pared abdominal, región lumbosacra y pelvis"
9356,T347,Congelamiento con necrosis tisular de la rodilla y de la pierna
9358,T349,Congelamiento con necrosis tisular de otros sitios y de los no especificados
9353,T344,Congelamiento con necrosis tisular del brazo
9350,T341,Congelamiento con necrosis tisular del cuello
9357,T348,Congelamiento con necrosis tisular del tobillo y del pie
9351,T342,Congelamiento con necrosis tisular del Torax
9361,T351,Congelamiento con necrosis tisular que afecta múltiples regiones del cuerpo
9362,T352,Congelamiento no especificado de la cabeza y del cuello
9365,T355,Congelamiento no especificado del miembro inferior
9364,T354,Congelamiento no especificado del miembro superior
9363,T353,"Congelamiento no especificado del Torax, del abdomen, de la región lumbosacra y de la pelvis"
9366,T356,Congelamiento no especificado que afecta múltiples regiones del cuerpo
9367,T357,"Congelamiento no especificado, de sitio no especificado"
9359,T35,Congelamiento que afecta múltiples regiones del cuerpo y congelamiento no especificado
9337,T33,Congelamiento superficial
9338,T330,Congelamiento superficial de la cabeza
9344,T336,Congelamiento superficial de la cadera y del muslo
9343,T335,Congelamiento superficial de la muñeca y de la mano
9341,T333,"Congelamiento superficial de la pared abdominal, región lumbosacra y pelvis"
9345,T337,Congelamiento superficial de la rodilla y de la pierna
9347,T339,Congelamiento superficial de otros sitios y de los no especificados
9342,T334,Congelamiento superficial del brazo
9339,T331,Congelamiento superficial del cuello
9346,T338,Congelamiento superficial del tobillo y del pie
9340,T332,Congelamiento superficial del Torax
9360,T350,Congelamiento superficial que afecta múltiples regiones del cuerpo
4793,K761,Congestión pasiva crónica del hígado
6140,N421,Congestión y hemorragia de la próstata
3266,H10,Conjuntivitis
3268,H101,Conjuntivitis atópica aguda
3271,H104,Conjuntivitis crónica
580,B301,Conjuntivitis debida a adenovirus
3285,H131,Conjuntivitis en enfermedades infecciosas y parasitarias clasificadas en otra parte
3286,H132,Conjuntivitis en otras enfermedades clasificadas en otra parte
582,B303,Conjuntivitis epidémica aguda hemorrágica (enterovírica)
3267,H100,Conjuntivitis mucopurulenta
354,A740,Conjuntivitis por clamidias
578,B30,Conjuntivitis viral
584,B309,"Conjuntivitis viral, sin otra especificación"
7100,P391,Conjuntivitis y dacriocistitis neonatales
3274,H109,"Conjuntivitis, no especificada"
13702,Z300,Consejo y asesoramiento general sobre la anticoncepción
13717,Z316,Consejo y asesoramiento general sobre la procreación
5781,M840,Consolidación defectuosa de fractura
5783,M842,Consolidación retardada de fractura
4692,K590,Constipación
14006,Z716,Consulta para asesoría por abuso de tabaco
14007,Z717,Consulta para asesoría sobre el virus de la inmunodeficiencia humana [VIH]
14004,Z714,Consulta para asesoría y vigilancia por abuso de alcohol
14005,Z715,Consulta para asesoría y vigilancia por abuso de drogas
14049,Z762,Consulta para atención y supervisión de la salud de otros niños o lactantes sanos
14048,Z761,Consulta para atención y supervisión de la salud del niño abandonado
14003,Z713,Consulta para instrucción y vigilancia de la dieta
14047,Z760,Consulta para repetición de receta
13992,Z70,"Consulta relacionada con actitud, conducta u orientación sexual"
13993,Z700,Consulta relacionada con la actitud sexual
13995,Z702,Consulta relacionada con la orientación y conducta sexual de una tercera persona
13994,Z701,Consulta relacionada con la orientación y conducta sexual del paciente
13996,Z703,"Consulta relacionada con preocupaciones combinadas sobre la actitud, la conducta y la orientación sexuales"
13998,Z709,"Consulta sexual, no especificada"
14009,Z719,"Consulta, no especificada"
11787,X11,Contacto con agua caliente corriente
11794,X116,"Contacto con agua caliente corriente, área industrial y de la construcción"
11791,X113,"Contacto con agua caliente corriente, áreas de deporte y atletismo"
11792,X114,"Contacto con agua caliente corriente, calles y carreteras"
11793,X115,"Contacto con agua caliente corriente, comercio y área de servicios"
11790,X112,"Contacto con agua caliente corriente, escuelas, otras instituciones y áreas administrativas  públicas"
11795,X117,"Contacto con agua caliente corriente, granja"
11789,X111,"Contacto con agua caliente corriente, institución residencial"
11797,X119,"Contacto con agua caliente corriente, lugar no especificado"
11796,X118,"Contacto con agua caliente corriente, otro lugar especificado"
11788,X110,"Contacto con agua caliente corriente, vivienda"
11820,X14,Contacto con aire y gases calientes
11827,X146,"Contacto con aire y gases calientes, área industrial y de la construcción"
11824,X143,"Contacto con aire y gases calientes, áreas de deporte y atletismo"
11825,X144,"Contacto con aire y gases calientes, calles y carreteras"
11826,X145,"Contacto con aire y gases calientes, comercio y área de servicios"
11823,X142,"Contacto con aire y gases calientes, escuelas, otras instituciones y áreas administrativas  públicas"
11828,X147,"Contacto con aire y gases calientes, granja"
11822,X141,"Contacto con aire y gases calientes, institución residencial"
11830,X149,"Contacto con aire y gases calientes, lugar no especificado"
11829,X148,"Contacto con aire y gases calientes, otro lugar especificado"
11821,X140,"Contacto con aire y gases calientes, vivienda"
11776,X10,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes"
11783,X106,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes, área industrial y de la construcción"
11780,X103,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes, áreas de deporte y atletismo"
11781,X104,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes, calles y carreteras"
11782,X105,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes, comercio y área de servicios"
11779,X102,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes, escuelas, otras instituciones y áreas administrativas  públicas"
11784,X107,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes, granja"
11778,X101,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes, institución residencial"
11786,X109,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes, lugar no especificado"
11785,X108,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes, otro lugar especificado"
11777,X100,"Contacto con bebidas, alimentos, grasas y aceites para cocinar, calientes, vivienda"
11853,X17,"Contacto con máquinas, motores y herramientas calientes"
11860,X176,"Contacto con máquinas, motores y herramientas calientes, área industrial y de la construcción"
11857,X173,"Contacto con máquinas, motores y herramientas calientes, áreas de deporte y atletismo"
11858,X174,"Contacto con máquinas, motores y herramientas calientes, calles y carreteras"
11859,X175,"Contacto con máquinas, motores y herramientas calientes, comercio y área de servicios"
11856,X172,"Contacto con máquinas, motores y herramientas calientes, escuelas, otras instituciones y áreas administrativas  públicas"
11861,X177,"Contacto con máquinas, motores y herramientas calientes, granja"
11855,X171,"Contacto con máquinas, motores y herramientas calientes, institución residencial"
11863,X179,"Contacto con máquinas, motores y herramientas calientes, lugar no especificado"
11862,X178,"Contacto con máquinas, motores y herramientas calientes, otro lugar especificado"
11854,X170,"Contacto con máquinas, motores y herramientas calientes, vivienda"
11875,X19,"Contacto con otras sustancias calientes, y las no especificadas"
11882,X196,"Contacto con otras sustancias calientes, y las no especificadas, área industrial y de la construcción"
11879,X193,"Contacto con otras sustancias calientes, y las no especificadas, áreas de deporte y atletismo"
11880,X194,"Contacto con otras sustancias calientes, y las no especificadas, calles y carreteras"
11881,X195,"Contacto con otras sustancias calientes, y las no especificadas, comercio y área de servicios"
11878,X192,"Contacto con otras sustancias calientes, y las no especificadas, escuelas, otras instituciones y áreas administrativas  públicas"
11883,X197,"Contacto con otras sustancias calientes, y las no especificadas, granja"
11877,X191,"Contacto con otras sustancias calientes, y las no especificadas, institución residencial"
11885,X199,"Contacto con otras sustancias calientes, y las no especificadas, lugar no especificado"
11884,X198,"Contacto con otras sustancias calientes, y las no especificadas, otro lugar especificado"
11876,X190,"Contacto con otras sustancias calientes, y las no especificadas, vivienda"
11798,X12,Contacto con otros líquidos calientes
11805,X126,"Contacto con otros líquidos calientes, área industrial y de la construcción"
11802,X123,"Contacto con otros líquidos calientes, áreas de deporte y atletismo"
11803,X124,"Contacto con otros líquidos calientes, calles y carreteras"
11804,X125,"Contacto con otros líquidos calientes, comercio y área de servicios"
11801,X122,"Contacto con otros líquidos calientes, escuelas, otras instituciones y áreas administrativas  públicas"
11806,X127,"Contacto con otros líquidos calientes, granja"
11800,X121,"Contacto con otros líquidos calientes, institución residencial"
11808,X129,"Contacto con otros líquidos calientes, lugar no especificado"
11807,X128,"Contacto con otros líquidos calientes, otro lugar especificado"
11799,X120,"Contacto con otros líquidos calientes, vivienda"
11864,X18,Contacto con otros metales calientes
11871,X186,"Contacto con otros metales calientes, área industrial y de la construcción"
11868,X183,"Contacto con otros metales calientes, áreas de deporte y atletismo"
11869,X184,"Contacto con otros metales calientes, calles y carreteras"
11870,X185,"Contacto con otros metales calientes, comercio y área de servicios"
11867,X182,"Contacto con otros metales calientes, escuelas, otras instituciones y áreas administrativas  públicas"
11872,X187,"Contacto con otros metales calientes, granja"
11866,X181,"Contacto con otros metales calientes, institución residencial"
11874,X189,"Contacto con otros metales calientes, lugar no especificado"
11873,X188,"Contacto con otros metales calientes, otro lugar especificado"
11865,X180,"Contacto con otros metales calientes, vivienda"
11842,X16,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes"
11849,X166,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes, área industrial y de la construcción"
11846,X163,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes, áreas de deporte y atletismo"
11847,X164,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes, calles y carreteras"
11848,X165,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes, comercio y área de servicios"
11845,X162,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes, escuelas, otras instituciones y áreas administrativas  públicas"
11850,X167,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes, granja"
11844,X161,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes, institución residencial"
11852,X169,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes, lugar no especificado"
11851,X168,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes, otro lugar especificado"
11843,X160,"Contacto con radiadores, cañerías y artefactos para calefacción, calientes, vivienda"
11831,X15,Contacto con utensilios domésticos calientes
11838,X156,"Contacto con utensilios domésticos calientes, área industrial y de la construcción"
11835,X153,"Contacto con utensilios domésticos calientes, áreas de deporte y atletismo"
11836,X154,"Contacto con utensilios domésticos calientes, calles y carreteras"
11837,X155,"Contacto con utensilios domésticos calientes, comercio y área de servicios"
11834,X152,"Contacto con utensilios domésticos calientes, escuelas, otras instituciones y áreas administrativas  públicas"
11839,X157,"Contacto con utensilios domésticos calientes, granja"
11833,X151,"Contacto con utensilios domésticos calientes, institución residencial"
11841,X159,"Contacto con utensilios domésticos calientes, lugar no especificado"
11840,X158,"Contacto con utensilios domésticos calientes, otro lugar especificado"
11832,X150,"Contacto con utensilios domésticos calientes, vivienda"
11809,X13,Contacto con vapor de agua y otros vapores calientes
11816,X136,"Contacto con vapor de agua y otros vapores calientes, área industrial y de la construcción"
11813,X133,"Contacto con vapor de agua y otros vapores calientes, áreas de deporte y atletismo"
11814,X134,"Contacto con vapor de agua y otros vapores calientes, calles y carreteras"
11815,X135,"Contacto con vapor de agua y otros vapores calientes, comercio y área de servicios"
11812,X132,"Contacto con vapor de agua y otros vapores calientes, escuelas, otras instituciones y áreas administrativas  públicas"
11817,X137,"Contacto con vapor de agua y otros vapores calientes, granja"
11811,X131,"Contacto con vapor de agua y otros vapores calientes, institución residencial"
11819,X139,"Contacto con vapor de agua y otros vapores calientes, lugar no especificado"
11818,X138,"Contacto con vapor de agua y otros vapores calientes, otro lugar especificado"
11810,X130,"Contacto con vapor de agua y otros vapores calientes, vivienda"
13032,Y27,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada"
13039,Y276,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada, área industrial y de la construcción"
13036,Y273,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada, áreas de deporte y atletismo"
13037,Y274,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada, calles y carreteras"
13038,Y275,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada, comercio y área de servicios"
13035,Y272,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada, escuelas, otras instituciones y áreas administrativas públicas"
13040,Y277,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada, granja"
13034,Y271,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada, institución residencial"
13042,Y279,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada, lugar no especificado"
13041,Y278,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada, otro lugar especificado"
13033,Y270,"Contacto con vapor de agua, vapores y objetos calientes, de intención no determinada, vivienda"
13636,Z202,Contacto con y Exposición a enfermedades infecciosas con un modo de transmisión predominantemente sexual
13634,Z200,Contacto con y Exposición a enfermedades infecciosas intestinales
13633,Z20,Contacto con y Exposición a enfermedades transmisibles
13643,Z209,Contacto con y Exposición a enfermedades transmisibles no especificadas
13639,Z205,Contacto con y Exposición a hepatitis viral
